,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,Date of Trial (Monday),Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (notebook),Recorded By (computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",total consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,4/19/17,113 0811,,4/5/17,,4/3/17,,WA,1,1,,F,T,10-2,0,0,0,analog,SC,KMM,PJW,20.0,52.0,36.0,vegetative,spore,,,
3,4/19/17,113 0803,,4/5/17,,4/3/17,,WA,1,2,,F,T,10-2,8,58,66,analog,SC,KMM,PJW,23.0,48.0,35.5,vegetative,spore,,,
5,4/19/17,113 0825,,4/5/17,,4/3/17,,WA,1,3,,F,T,10-2,0,15,15,analog,SC,KMM,PJW,43.0,65.0,54.0,vegetative,spore,,,
7,4/19/17,113 0813,,4/5/17,,4/3/17,,WA,1,4,,F,T,10-2,0,5,5,analog,SC,KMM,PJW,48.0,80.0,64.0,vegetative,spore,,,
9,4/19/17,113 0814,,4/5/17,,4/3/17,,WA,1,5,,F,T,10-2,6,8,14,analog,SC,KMM,PJW,36.0,86.0,61.0,vegetative,spore,,,
11,4/19/17,113 0815,,4/5/17,,4/3/17,,WA,1,6,,F,T,10-2,0,0,0,analog,SC,KMM,PJW,31.0,55.0,43.0,vegetative,spore,,,
13,4/19/17,113 0816,,4/5/17,,4/3/17,,WA,1,7,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,25.0,63.0,44.0,vegetative,spore,,,
15,4/19/17,113 0817,,4/5/17,,4/3/17,,WA,1,8,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,33.0,61.0,47.0,vegetative,spore,,,
17,4/19/17,113 0818,,4/5/17,,4/3/17,,WA,1,9,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,38.0,55.0,46.5,vegetative,spore,,,
19,4/19/17,113 0819,,4/5/17,,4/3/17,,WA,1,10,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,37.0,88.0,62.5,vegetative,spore,,,
21,4/19/17,113 0820,,4/5/17,,4/3/17,,WA,1,11,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,31.0,49.0,40.0,vegetative,spore,,,
23,4/19/17,113 0821,,4/5/17,,4/3/17,,WA,1,12,,F,T,10-2,0,0,0,analog,SC,KMM,PJW,32.0,72.0,52.0,vegetative,spore,,,
25,4/19/17,113 0822,,4/5/17,,4/3/17,,WA,1,13,,F,T,10-2,2,2,4,analog,SC,KMM,PJW,26.0,66.0,46.0,vegetative,spore,,,
27,4/19/17,113 0823,,4/5/17,,4/3/17,,WA,1,14,,F,T,10-2,1,0,1,analog,SC,KMM,PJW,29.0,46.0,37.5,vegetative,spore,,,
29,4/19/17,113 0824,,4/5/17,,4/3/17,,WA,1,15,,F,T,10-2,2,0,2,analog,SC,KMM,PJW,30.0,56.0,43.0,vegetative,spore,,,
31,4/14/17,111 0691,,4/5/17,,4/3/17,,WA,1,16,,F,T,10-2,1,7,8,analog,MW,KMM,PJW,29.0,58.0,43.5,vegetative,spore,,,
33,4/14/17,111 0690,,4/5/17,,4/3/17,,WA,1,17,,F,T,10-2,4,5,9,analog,MW,KMM,PJW,32.0,47.0,39.5,vegetative,spore,,,
35,4/14/17,111 0688,,4/5/17,,4/3/17,,WA,1,18,,F,T,10-2,0,5,5,analog,MW,KMM,PJW,26.0,54.0,40.0,vegetative,spore,,,
37,4/14/17,111 0687,,4/5/17,,4/3/17,,WA,1,19,,F,T,10-2,1,4,5,analog,MW,KMM,PJW,27.0,53.0,40.0,vegetative,spore,,,
39,4/14/17,111 0684,,4/5/17,,4/3/17,,WA,1,20,,F,T,10-2,1,6,7,analog,MW,KMM,PJW,40.0,56.0,48.0,vegetative,spore,,,
41,4/14/17,000 0681,,4/5/17,,4/3/17,,WA,1,21,,F,T,10-2,1,8,9,analog,MW,KMM,PJW,38.0,59.0,48.5,vegetative,spore,,,
43,4/14/17,111 0680,,4/5/17,,4/3/17,,WA,1,22,,F,T,10-2,0,6,6,analog,MW,KMM,PJW,16.0,45.0,30.5,vegetative,spore,,,
45,4/14/17,111 0679,,4/5/17,,4/3/17,,WA,1,23,,F,T,10-2,0,5,5,analog,MW,KMM,PJW,44.0,75.0,59.5,vegetative,spore,,,
47,4/14/17,111 0676,,4/5/17,,4/3/17,,WA,1,24,,F,T,10-2,5,97,102,analog,MW,KMM,PJW,14.0,40.0,27.0,vegetative,spore,,,
49,4/14/17,111 0675,,4/5/17,,4/3/17,,WA,1,25,,F,T,10-2,2,4,6,analog,MW,KMM,PJW,24.0,59.0,41.5,vegetative,spore,,,
51,4/14/17,111 0674,,4/5/17,,4/3/17,,WA,1,26,,F,T,10-2,2,9,11,analog,MW,KMM,PJW,36.0,85.0,60.5,vegetative,spore,,,
53,4/14/17,111 0673,,4/5/17,,4/3/17,,WA,1,27,,F,T,10-2,5,18,23,analog,MW,KMM,PJW,38.0,53.0,45.5,vegetative,spore,,,
55,4/14/17,111 0672,,4/5/17,,4/3/17,,WA,1,28,,F,T,10-2,2,3,5,analog,MW,KMM,PJW,37.0,63.0,50.0,vegetative,spore,,,
57,4/14/17,111 0670,,4/5/17,,4/3/17,,WA,1,29,,F,T,10-2,1,3,4,analog,MW,KMM,PJW,31.0,56.0,43.5,vegetative,spore,,,
59,4/14/17,111 0667,,4/5/17,,4/3/17,,WA,1,30,,F,T,10-2,0,6,6,analog,MW,KMM,PJW,29.0,46.0,37.5,vegetative,spore,,,
61,4/14/17,111 0731,,4/5/17,,4/3/17,,WA,1,1,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,20.0,52.0,36.0,vegetative,spore,,,
63,4/14/17,111 0729,,4/5/17,,4/3/17,,WA,1,2,,F,T,10-3,1,18,19,analog,"MW, KN, AD",KMM,PJW,23.0,48.0,35.5,vegetative,spore,,,
65,4/14/17,111 0727,,4/5/17,,4/3/17,,WA,1,3,,F,T,10-3,0,3,3,analog,"MW, KN, AD",KMM,PJW,43.0,65.0,54.0,vegetative,spore,,,
67,4/14/17,111 0726,,4/5/17,,4/3/17,,WA,1,4,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,48.0,80.0,64.0,vegetative,spore,,,
69,4/14/17,111 0725,,4/5/17,,4/3/17,,WA,1,5,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,36.0,86.0,61.0,vegetative,spore,,,
71,4/14/17,111 0724,,4/5/17,,4/3/17,,WA,1,6,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,31.0,55.0,43.0,vegetative,spore,,,
73,4/14/17,111 0721,,4/5/17,,4/3/17,,WA,1,7,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,25.0,63.0,44.0,vegetative,spore,,,
75,4/14/17,111 0719,,4/5/17,,4/3/17,,WA,1,8,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,33.0,61.0,47.0,vegetative,spore,,,
77,4/14/17,111 0718,,4/5/17,,4/3/17,,WA,1,9,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,38.0,55.0,46.5,vegetative,spore,,,
79,4/14/17,111 0717,,4/5/17,,4/3/17,,WA,1,10,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,37.0,88.0,62.5,vegetative,spore,,,
81,4/14/17,111 0716,,4/5/17,,4/3/17,,WA,1,11,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,31.0,49.0,40.0,vegetative,spore,,,
83,4/14/17,111 0715,,4/5/17,,4/3/17,,WA,1,12,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,32.0,72.0,52.0,vegetative,spore,,,
85,4/14/17,111 0714,,4/5/17,,4/3/17,,WA,1,13,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,26.0,66.0,46.0,vegetative,spore,,,
87,4/14/17,111 0713,,4/5/17,,4/3/17,,WA,1,14,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,29.0,46.0,37.5,vegetative,spore,,,
89,4/14/17,111 0711,,4/5/17,,4/3/17,,WA,1,15,,F,T,10-3,0,1,1,analog,"MW, KN, AD",KMM,PJW,30.0,56.0,43.0,vegetative,spore,,,
91,4/14/17,111 0710,,4/5/17,,4/3/17,,WA,1,16,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,29.0,58.0,43.5,vegetative,spore,,,
93,4/14/17,111 0709,,4/5/17,,4/3/17,,WA,1,17,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,32.0,47.0,39.5,vegetative,spore,,,
95,4/14/17,111 0708,,4/5/17,,4/3/17,,WA,1,18,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,26.0,54.0,40.0,vegetative,spore,,,
97,4/14/17,111 0707,,4/5/17,,4/3/17,,WA,1,19,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,27.0,53.0,40.0,vegetative,spore,,,
99,4/14/17,111 0706,,4/5/17,,4/3/17,,WA,1,20,,F,T,10-3,0,19,19,analog,"MW, KN, AD",KMM,PJW,40.0,56.0,48.0,vegetative,spore,,,
101,4/14/17,111 0705,,4/5/17,,4/3/17,,WA,1,21,,F,T,10-3,0,1,1,analog,"MW, KN, AD",KMM,PJW,38.0,59.0,48.5,vegetative,spore,,,
103,4/14/17,111 0702,,4/5/17,,4/3/17,,WA,1,22,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,16.0,45.0,30.5,vegetative,spore,,,
105,4/14/17,111 0701,,4/5/17,,4/3/17,,WA,1,23,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,44.0,75.0,59.5,vegetative,spore,,,
107,4/14/17,111 0700,,4/5/17,,4/3/17,,WA,1,24,,F,T,10-3,0,20,20,analog,"MW, KN, AD",KMM,PJW,14.0,40.0,27.0,vegetative,spore,,,
109,4/14/17,111 0699,,4/5/17,,4/3/17,,WA,1,25,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,24.0,59.0,41.5,vegetative,spore,,,
111,4/14/17,111 0698,,4/5/17,,4/3/17,,WA,1,26,,F,T,10-3,0,2,2,analog,"MW, KN, AD",KMM,PJW,36.0,85.0,60.5,vegetative,spore,,,
113,4/14/17,111 0697,,4/5/17,,4/3/17,,WA,1,27,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,38.0,53.0,45.5,vegetative,spore,,,
115,4/14/17,111 0696,,4/5/17,,4/3/17,,WA,1,28,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,37.0,63.0,50.0,vegetative,spore,,,
117,4/14/17,111 0694,,4/5/17,,4/3/17,,WA,1,29,,F,T,10-3,0,0,0,analog,"MW, KN, AD",KMM,PJW,31.0,56.0,43.5,vegetative,spore,,,
